name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Champ de Mines Furtif,stealth_minefield,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.StealthMinefield,Les mines attaquent les vaisseaux ennemis durant la bataille.,Les mines attaquent les vaisseaux ennemis durant la bataille.,,graphics/hullmods/stealth_mines.png
Champ de Mines Furtif,stealth_minefield_lt,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.StealthMinefieldLT,Les mines attaquent les vaisseaux ennemis durant la bataille.,Les mines attaquent les vaisseaux ennemis durant la bataille.,,graphics/hullmods/stealth_mines.png
Pont B,bdeck,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.BDeck,"Une fois par combat, quand le taux de remplacement des chasseurs atteint %s, les baies de lancement sont basculées pour opérer depuis un « Pont B ».

Des chasseurs en attente sont lancés pour ramener rapidement les escadrilles à plein effectif, et le taux de remplacement est fixé à %s.",Lance des chasseurs frais une fois par combat et restaure le taux de remplacement.,,graphics/hullmods/bdeck.png
Stockage de Châssis de Chasseurs,chassis_storage,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.FighterChassisStorage,Le taux de remplacement des chasseurs ne diminue pas quand des chasseurs sont perdus.,Le taux de remplacement des chasseurs ne diminue pas.,,graphics/hullmods/expanded_deck_crew.png
Bouclier Toujours Actif,shield_always_on,,,,,,,,TRUE,TRUE,0,0,0,0,com.fs.starfarer.api.impl.hullmods.ShieldAlwaysOn,,"Force le bouclier à rester actif. Caché, pas besoin de description ou d’icône.",,graphics/hullmods/hardened_shields.png
Autoforge de Missiles,missile_reload,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.PeriodicMissileReload,Une autoforge à l’intérieur du vaisseau recharge périodiquement les chargeurs de toutes les armes à missiles.,Recharge périodiquement toutes les armes à missiles.,,graphics/hullmods/expanded_missile_racks.png
Soutes Blindées,shielded_holds,2,,,,,,,TRUE,,5,10,15,30,data.hullmods.ShieldedCargoHolds,"Fréquemment trouvées sur les vaisseaux qui ne peuvent pas toujours compter sur leurs boucliers pour protéger leur cargaison des radiations cosmiques. Quelques ajustements suffisent pour que le blindage trompe les scans cargo longue portée, réduisant la probabilité de détection de contrebande.",Améliore les chances d’éviter la détection de contrebande.,,graphics/hullmods/shielded_cargo_hold.png
Portique de Salvage,repair_gantry,,,,,,,,TRUE,,5,10,20,40,com.fs.starfarer.api.impl.campaign.RepairGantry,"Augmente les ressources obtenues lors du salvage de stations abandonnées, d’épaves et d’autres débris de %s/%s/%s/%s, selon la taille de coque. N’affecte que la récupération de ressources courantes comme le carburant et les ressources, pas les objets rares comme les plans. De plus, %s du bonus s’applique au salvage post-bataille.",Augmente les ressources obtenues du salvage.,,graphics/hullmods/repair_gantry.png
Champ de Phase,phasefield,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.PhaseField,"Le vaisseau peut maintenir un champ de phase de faible intensité pendant de longues périodes, réduisant son profil capteur effectif de %s.",Réduit le profil capteur de la flotte.,,graphics/hullmods/phase_field.png
Dérivation de Flux,fluxshunt,,,,,,,,TRUE,,10,20,30,50,data.hullmods.FluxShunt,Permet au vaisseau de dissiper le flux fixe à %s du taux normal quand les boucliers sont actifs.,Permet la dissipation du flux fixe avec les boucliers levés.,,graphics/hullmods/flux_shunt.png
Coque de Grade Civil,civgrade,,,,,,,,TRUE,,0,0,0,0,data.hullmods.CivGrade,Augmente le profil capteur de %s. Réduit la puissance capteur de %s.,"Augmente le profil capteur, réduit la puissance capteur.",,graphics/hullmods/civilian_grade.png
Haute Maintenance,high_maintenance,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HighMaintenance,Augmente le coût de maintenance mensuel en ressources de %s.,Augmente le coût de maintenance.,,graphics/hullmods/high_maintenance.png
Cohéreur de Bolts Énergétiques,coherer,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.EnergyBoltCoherer,<tooltip created in the script>,Augmente la portée de base des armes énergétiques non-faisceau.,,graphics/hullmods/coherer.png
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Câble de Remorquage Monofilament,tow_cable,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.campaign.TowCable,"Améliore le niveau de poussée maximal du vaisseau le plus lent de la flotte de 1. Plusieurs remorqueurs ne peuvent pas accélérer le même vaisseau de plus de 1.

Ne peut pas être utilisé en combat.",Augmente le niveau de poussée d’un autre vaisseau.,,graphics/hullmods/monofilament_cable.png
Stabilisateur de Champ de Propulsion,drive_field_stabilizer,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DriveFieldStabilizer,"Stabilise la bulle de propulsion de la flotte, augmentant la poussée maximale de la flotte de %s. L’effet de plusieurs stabilisateurs est cumulatif.

Augmente le profil capteur du vaisseau de %s.",Réduit la consommation de carburant de la flotte.,,graphics/hullmods/augmented_drive_field.png
Kit de Soutien Terrestre,ground_support,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.GroundSupport,"Armes de soutien rapproché et contre-mesures pour les défenses au sol. Augmente la force effective des raids planétaires de %s, jusqu’au nombre total de marines de la flotte.",Améliore l’efficacité des raids.,,graphics/hullmods/ground_support.png
Soutien Terrestre Avancé,advanced_ground_support,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.AdvancedGroundSupport,"Armes de soutien rapproché et contre-mesures pour les défenses au sol. Augmente la force effective des raids planétaires de %s, jusqu’au nombre total de marines de la flotte.",Améliore l’efficacité des raids.,,graphics/hullmods/ground_support_adv.png
Machinerie Délicate,delicate,,,,,,,,TRUE,,0,0,0,0,data.hullmods.DelicateMachinery,"Les systèmes du vaisseau nécessitent une maintenance excessive et ne résistent pas bien aux rigueurs des engagements prolongés.

Augmente le taux de dégradation de la préparation au combat après la fin du temps de performance maximale de %s.",Augmente le taux de dégradation après le temps maximal.,,graphics/hullmods/delicate_machinery.png
Intégration Balistique Lourde,hbi,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.HeavyBallisticsIntegration,Réduit le coût en points d’ordonnance des grandes armes balistiques de %s.,Réduit le coût en points d’ordonnance des grandes armes balistiques.,,graphics/hullmods/ballistics_integration.png
Hangar Immense,vast_hangar,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.VastHangar,"Le vaisseau possède un immense hangar et une petite flotte de vaisseaux de soutien assortie.

Le nombre de baies de chasseurs ajoutées par le Hangar Improvisé est augmenté de %s, et ses performances égalent celles d’une baie de chasseurs dédiée – toutes les pénalités et modificateurs, y compris ceux sur le coût de déploiement, sont annulés.",Augmente l’effet du Hangar Improvisé et supprime ses pénalités.,,graphics/hullmods/vast_hangar.png
Construction Robuste,rugged,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.RuggedConstruction,"Réduit la plupart des effets négatifs des d-mods de %s. Si désactivé ou détruit en combat, le vaisseau a %s de chances d’éviter de nouveaux d-mods, et est presque toujours récupérable après la bataille.

De plus, le coût en ressources de récupération de déploiement – et de réparation si désactivé – est réduit de %s.",Réduit l’impact des d-mods ; vaisseau presque toujours récupérable en cas de perte.,,graphics/hullmods/rugged_construction.png
Vaisseau Automatisé,automated,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.Automated,"Ce vaisseau est entièrement automatisé et ne nécessite – et ne peut pas embarquer – d’équipage humain.

Les vaisseaux automatisés nécessitent généralement un équipement et une expertise spécialisés pour la maintenance, entraînant une pénalité de préparation au combat maximale de %s. Cette pénalité peut être compensée par un commandant de flotte compétent en vaisseaux automatisés.",Ne nécessite pas et ne peut pas embarquer d’équipage.,,graphics/hullmods/automated.png
Noyau de Ciblage Avancé,advancedcore,,,,,,,,TRUE,,0,0,0,0,data.hullmods.AdvancedTargetingCore,"Augmente la portée des armes balistiques et énergétiques de %s. La portée des armes de défense de point n’est augmentée que de %s.

Exclut l’installation d’un Noyau de Ciblage Dédié ou d’un Module de Ciblage Intégré.",Augmente considérablement la portée des armes non-missile.,,graphics/hullmods/advanced_targeting_core.png
Supercalculateur de Ciblage,supercomputer,,,,,,,,TRUE,,0,0,0,0,data.hullmods.TargetingSupercomputer,"Augmente la portée des armes balistiques et énergétiques de %s. La portée des armes de défense de point n’est augmentée que de %s.

Augmente aussi la précision d’anticipation de cible et augmente considérablement la portée capteur en combat.",Augmente considérablement la portée des armes non-missile.,,graphics/hullmods/targeting_supercomputer.png
Bobines de Phase Expérimentales,ex_phase_coils,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.ExperimentalPhaseCoils,Réduit le temps de recharge du voile de phase de %s.,Réduit considérablement le temps de recharge du voile de phase.,,graphics/hullmods/phase_coils_experimental.png
Attracteur Haute Volition,high_frequency_attractor,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.combat.BaseHullMod,Une modification expérimentale permettant aux particules haute fréquence d’être attirées par le noyau de faille à bord du vaisseau.,Lance des particules haute fréquence plus puissantes.,,graphics/hullmods/high_volition_attractor.png
Blindage Ablatif,ablative_armor,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.AblativeArmor,"Un design ancien destiné à stopper les micro-météorites par le volume brut de matériau en place, avant l’avènement du blindage « espacé ».

Réduit la résistance effective du blindage pour le calcul de réduction de dégâts à %s de sa valeur réelle. Cependant, les vaisseaux de ce design tendent à porter un blindage extrêmement lourd.",Réduit la réduction de dégâts du blindage.,,graphics/hullmods/ablative_armor.png
Contrôle de Tir Distribué,distributed_fire_control,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DistributedFireControl,"La majeure partie des dommages qui désactivent les armes vient des conduits de contrôle et d’alimentation externes. Les armes de ce vaisseau sont conçues pour fonctionner de manière plus indépendante, réduisant leur exposition aux dommages de %s et les dégâts EMP reçus par le vaisseau de %s.",Augmente la durabilité des armes et réduit les dégâts EMP reçus.,,graphics/hullmods/distributed_fire_control2.png
Soute à Cargo Convertie,converted_bay,1,,,,,,,TRUE,,0,0,0,0,data.hullmods.ConvertedCargoBay,"La soute à cargo de ce vaisseau a été convertie pour abriter une paire de baies de chasseurs. La manufacture improvisée qui produit les châssis de chasseurs est peu fiable, et la plupart des composants ont des défauts mineurs. Vitesse des chasseurs réduite de %s, et dégâts reçus augmentés de %s.",Paire de baies de chasseurs improvisées.,,graphics/hullmods/converted_hangar.png
Modifications Spéciales,andrada_mods,,,,dmod,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.AndradaMods,"Lors d’une inspection d’un prototype, l’Exécuteur Suprême aurait commenté défavorablement les conduits exposés le long des coursives, et le danger qu’ils représentent pour l’équipage courageux et loyal en conditions de combat.

Le nouveau chef designer, un officier loyal nommé par l’Exécuteur Suprême lui-même, ordonna aux programmeurs de forge de prévoir l’installation de panneaux isolés spéciaux anti-explosion produits par Sindria elle-même.

Si les passages sont un peu plus étroits, les conduits sujets à la surchauffe, et les panneaux encastrés quelque peu difficiles d’accès, les rapports officiels de préparation ne formulent aucune critique. Tout le monde s’accorde en public et – comme le Ministère de la Sécurité Intérieure peut l’attester – en privé, que la grandeur austère de la flotte de la Garde du Lion est à couper le souffle.

Les pertes d’équipage en combat sont augmentées de %s. Le taux de dissipation de flux de base est réduit de %s, et le taux de réparation des armes et moteurs désactivés est réduit de %s.",Réduit les performances du vaisseau.,,graphics/hullmods/special_modifications.png
Masse Immense,vastbulk,,,,,,,,TRUE,,0,0,0,0,data.hullmods.VastBulk,"Le corps principal de cette structure est immense et, à toutes fins pratiques, capable d’absorber n’importe quelle quantité de dégâts d’armes conventionnelles sans être détruit.",,,graphics/hullmods/vast_bulk.png
Rotation Axiale,axialrotation,,,,,,,,TRUE,,0,0,0,0,data.hullmods.AxialRotation,Cette structure tourne constamment autour de son axe.,,,graphics/hullmods/axial_rotation.png
Rotation d’Ancrage,anchorrotation,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.AnchorRotation,Cette structure tourne autour de son point d’ancrage. Pour les modules de station uniquement.,,,graphics/hullmods/axial_rotation.png
Explosion Réduite,reduced_explosion,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.ReducedExplosion,Rayon et dégâts d’explosion réduits.,,,graphics/hullmods/reduced_explosion.png
Se Détache Toujours,always_detaches,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.AlwaysDetaches,Se détache toujours de la structure parente lorsque détruit.,,,graphics/hullmods/detach_always.png
Ne Se Détache Jamais,never_detaches,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.NeverDetaches,Ne se détache jamais de la structure parente lorsque détruit.,,,graphics/hullmods/detach_never.png
Pas de Flux d’Arme,no_weapon_flux,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.NoWeaponFlux,Le tir des armes ne coûte pas de flux. Utilisé sur les chasseurs pour un contrôle fin des points de vie effectifs du bouclier.,,,
Ne Pas Tirer Au Travers,do_not_fire_through,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.DoNotFireThrough,"Les armes des autres modules de la station éviteront de tirer au travers de ce module, même si les tirs passeraient au-dessus sans le toucher.",,,
Générateur de Fragments,shard_spawner,,,,,,,,TRUE,TRUE,0,0,0,0,com.fs.starfarer.api.impl.hullmods.ShardSpawner,Génère des vaisseaux-fragments quand le vaisseau est désactivé/détruit.,,,
Ne Pas Reculer,do_not_back_off,,,,,,,,TRUE,TRUE,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DoNotBackOff,Active le drapeau IA DO_NOT_BACK_OFF,,,
,,,,,,,,,,,,,,,,,,,
# ship skin buffs,,,,,,,,,,,,,,,,,,,
14e Groupe de Bataille,fourteenth,,,,,,,,TRUE,,0,0,0,0,data.hullmods.Fourteenth,"Ce vaisseau est un survivant du 14e Groupe de Bataille originel du Domaine qui a fondé l’Hegemony. C’est un spécimen de premier ordre de la doctrine de « bataille décisive » de la Marine du Domaine, illustrée par une série de modifications structurelles radicales (réalisées avec des méthodes industrielles pré-Effondrement) qui permettent le montage de plaques de blindage plus lourdes avec une augmentation fixe de %s unités standard, pour seulement %s de réduction de vitesse et de maniabilité. Des systèmes énergétiques exceptionnellement bien calibrés augmentent le débit et la capacité de flux de %s par rapport aux exemplaires standards de cette coque.",,,graphics/hullmods/fourteenth.png
Auxiliaire Hégémonique Militarisé,heg_militarized,,,,,,,,TRUE,,0,0,0,0,data.hullmods.Militarized,"Ce vaisseau est – ou était – sur la liste auxiliaire de l’Hegemony. Des kits de surblindage appliqués dans les chantiers navals de l’Hegemony permettent une augmentation de %s/%s/%s/%s du blindage selon la taille de coque, sans perte de performance. Les systèmes énergétiques centraux ont été mis à niveau aux standards militaires, offrant %s d’amélioration de maniabilité générale, %s d’augmentation de capacité de flux, %s d’augmentation de dissipation de flux, et une augmentation du niveau de poussée maximal de %s.",,,graphics/hullmods/militarized_hegemony_auxiliary.png
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
# permanent ship debuffs,,,,,,,,,,,,,,,,,,,
Blindage Compromis,comp_armor,,,,"dmod, damage, damageStruct",,,,TRUE,,0,0,0,0,data.hullmods.CompromisedArmor,"Le blindage de ce vaisseau a subi des dommages majeurs et irréparables par le passé, ou a souffert d’erreurs majeures dans le processus de fabrication. Blindage réduit de %s.

Coût en ressources de récupération de déploiement réduit de %s.",,,graphics/hullmods/compromised_armor.png
Coque Compromise,comp_hull,,,,"dmod, damage, damageStruct",,,,TRUE,,0,0,0,0,data.hullmods.CompromisedHull,"La coque de ce vaisseau a subi des dommages majeurs et irréparables par le passé, ou a souffert d’erreurs majeures dans le processus de fabrication. Intégrité de coque réduite de %s.

Coût en ressources de récupération de déploiement réduit de %s.",,,graphics/hullmods/compromised_hull.png
Moteurs Dégradés,degraded_engines,,,,"dmod, damage",,,,TRUE,,0,0,0,0,data.hullmods.DegradedEngines,"Que ce soit dû aux dommages de combat, aux défauts de fabrication, ou à des cycles de maintenance déficiente, les moteurs de ce vaisseau souffrent de performances dégradées de manière permanente.

Vitesse maximale et maniabilité en combat réduites de %s.

Coût en ressources de récupération de déploiement réduit de %s.",,,graphics/hullmods/degraded_engines.png
Champ de Propulsion Dégradé,degraded_drive_field,,,,"dmod, damage, civOnly",,,,TRUE,,0,0,0,0,data.hullmods.DegradedDriveField,"Que ce soit dû aux dommages de combat, aux défauts de fabrication, ou à des cycles de maintenance déficiente, le champ de propulsion de ce vaisseau souffre de performances dégradées de manière permanente.

Niveau de poussée maximal réduit de %s. Profil capteur augmenté de %s.

Coût en ressources de récupération de déploiement réduit de %s.",,,graphics/hullmods/degraded_drivefield.png
Grille Énergétique Défectueuse,faulty_grid,,,,"dmod, damage",,,,TRUE,,0,0,0,0,data.hullmods.FaultyPowerGrid,"Que ce soit dû aux dommages de combat, aux défauts de fabrication, ou à des cycles de maintenance déficiente, la grille énergétique de ce vaisseau n’atteindra jamais ses performances maximales.

Capacité de flux réduite de %s. Taux de dissipation de flux réduit de %s. Profil capteur augmenté de %s.

Coût en ressources de récupération de déploiement réduit de %s.",,,graphics/hullmods/faulty_power_grid.png
Instabilité des Bobines de Phase,unstable_coils,,,,"dmod, phaseDamage",,,,TRUE,,0,0,0,0,data.hullmods.PhaseCoilInstability,"Les bobines de phase de ce vaisseau sont impossibles à calibrer correctement en raison de défauts subtils. Réduit le bonus de temps en phase de %s, réduit le temps de performance maximale de %s, et augmente le taux de dégradation de la préparation au combat de %s.

Coût en ressources de récupération de déploiement réduit de %s.",,,graphics/hullmods/phase_coil_instability.png
Dommages Structurels,comp_structure,,,,"dmod, damageStruct, destroyedDamageAlways",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.CompromisedStructure,"La coque de ce vaisseau a probablement subi des dommages extrêmes par le passé, peut-être au point de se disloquer. Blindage réduit de %s, intégrité de coque réduite de %s.

Coût en ressources de récupération de déploiement réduit de %s.",,,graphics/hullmods/structural_damage.png
Réseau de Capteurs Défaillant,glitched_sensors,,,,"dmod, damage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.GlitchedSensorArray,"Le réseau de capteurs du vaisseau est endommagé au-delà de toute réparation possible sans révision complète de la coque. Portée des armes en combat réduite de %s. Puissance capteur réduite de %s.

Coût en ressources de récupération de déploiement réduit de %s.",,,graphics/hullmods/glitched_sensor_array.png
Communications Défaillantes,malfunctioning_comms,,,,"dmod, fighterBayDamage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.MalfunctioningComms,"Le système de communication a subi des dommages sérieux, rendant la percée du brouillage de champ de bataille encore plus difficile. Portée d’engagement des chasseurs réduite de %s.

Coût en ressources de récupération de déploiement réduit de %s.",,,graphics/hullmods/malfunctioning_comms.png
Manufacture Défectueuse,defective_manufactory,,,,"dmod, fighterBayDamage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DefectiveManufactory,"La manufacture qui produit les châssis de chasseurs est peu fiable, et la plupart des composants ont des défauts mineurs. Vitesse des chasseurs réduite de %s, et dégâts reçus augmentés de %s.

Coût en ressources de récupération de déploiement réduit de %s.",,,graphics/hullmods/defective_manufactory.png
Pont d’Envol Endommagé,damaged_deck,,,,"dmod, fighterBayDamage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DamagedFlightDeck,"Les ponts d’envol de ce vaisseau ont subi des dommages majeurs qui interfèrent sérieusement avec les opérations normales. Le temps de lancement des chasseurs de remplacement est augmenté de %s.

Coût en ressources de récupération de déploiement réduit de %s.",,,graphics/hullmods/damaged_flight_deck.png
Sous-systèmes Fragiles,fragile_subsystems,,,,"dmod, damage, peak_time, notPhase",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.FragileSubsystems,"Une perte généralisée de composants redondants réduit le temps de performance maximale de %s, et augmente le taux de dégradation de la préparation au combat de %s.

Coût en ressources de récupération de déploiement réduit de %s.",,,graphics/hullmods/fragile_subsystems.png
Stockage Compromis,comp_storage,,,,"dmod, damage, civOnly",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.CompromisedStorage,"La capacité de stockage de ce vaisseau est significativement dégradée. Capacité d’équipage, cargo et carburant réduite de %s.

Coût en ressources de récupération de déploiement réduit de %s.",,,graphics/hullmods/compromised_storage.png
Maintenance Accrue,increased_maintenance,,,,"dmod, damage, civ, notAuto",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.IncreasedMaintenance,"Augmente le coût de maintenance mensuel en ressources de %s. Augmente l’équipage minimum requis de %s. Réduit la préparation au combat maximale de %s.

Coût en ressources de récupération de déploiement réduit de %s.","Augmente le coût de maintenance et les besoins en équipage, réduit la préparation au combat maximale.",,graphics/hullmods/increased_maintenance.png
Injecteur de Carburant Erratique,erratic_injector,,,,"dmod, damage, civ",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.ErraticInjector,"Augmente la consommation de carburant de %s et réduit le bonus à flux zéro de %s us/seconde.

Coût en ressources de récupération de déploiement réduit de %s.",Augmente la consommation de carburant et réduit le bonus à flux zéro.,,graphics/hullmods/erratic_injector.png
Systèmes Automatisés Défaillants,faulty_auto,,,,"dmod, damage, notAuto",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.FaultyAutomatedSystems,"Augmente l’équipage minimum requis de %s et réduit la préparation au combat maximale de %s.

Coût en ressources de récupération de déploiement réduit de %s.","Augmente l’équipage minimum requis, réduit la préparation au combat maximale.",,graphics/hullmods/faulty_automated_systems.png
Supports d’Armes Endommagés,damaged_mounts,,,,"dmod, damage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DamagedWeaponMounts,"Réduit la vitesse de rotation des armes de %s et augmente le recul de %s.

Coût en ressources de récupération de déploiement réduit de %s.",Réduit la vitesse de rotation des armes et augmente le recul.,,graphics/hullmods/damaged_weapon_mounts.png
Support Vital Dégradé,degraded_life_support,,,,"dmod, damage, notAuto",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DegradedLifeSupport,"Réduit la capacité d’équipage maximale de %s, et la préparation au combat maximale de %s.

Coût en ressources de récupération de déploiement réduit de %s.",Réduit la capacité d’équipage maximale et la préparation au combat.,,graphics/hullmods/degraded_life_support.png
Boucliers Dégradés,degraded_shields,,,,"dmod, damage, reqShields",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DegradedShields,"Augmente les dégâts reçus par les boucliers de %s.

Coût en ressources de récupération de déploiement réduit de %s.",Augmente les dégâts reçus par les boucliers.,,graphics/hullmods/degraded_shields.png
,,,,,,,,,,,,,,,,,,,
Supports d’Armes Détruits,destroyed_mounts,,,,dmod,,,,TRUE,,0,0,0,0,data.hullmods.DestroyedWeaponMounts,Certains des supports d’armes originaux de ce vaisseau ont été endommagés au-delà de toute réparation et ne peuvent plus être utilisés.,,,graphics/hullmods/damaged_weapon_mounts.png
Modifications Malvenues,ill_advised,,,,dmod,,,,TRUE,,0,0,0,0,data.hullmods.IllAdvised,"Les systèmes de cette coque ont été drastiquement modifiés hors spécifications, probablement sans supervision d’ingénierie certifiée. Ses systèmes semblent fonctionner correctement en conditions normales, mais présentent un risque significatif de dysfonctionnement critique sous stress.",,,graphics/hullmods/illadvised.png
