id,trigger,conditions,script,text,options,notes
lppHookCurateHowManyB,DialogOptionSelected,"$option == lpp_hookCurateHowMany
$entity.id != beholder_station",$didShrineInfoDump = true,"""Gilead, Jangala, Hesperus... une poignée,"" dit $heOrShe avec une pause, le regard cherchant. ""Certains ont été perdus au fil des années ; Opis bien sûr. Et d'autres sanctifiés à nouveau. Il y a la Station Beholder en orbite autour de Kumari Aru, bien que des éléments militants y soient fréquents. Et Volturn, bien que les autorités actuelles soient capricieuses quant à l'accès.""

""Il y... avait, ou peut-être y a-t-il encore, un sanctuaire sur Killa. C'est un endroit dangereux cependant, sans parler de l'infestation de pirates du système.""","lpp_hookCurateCredits:""On pourrait se faire quelques crédits en transportant des pèlerins entre les sanctuaires...""
lpp_hookCurateCharity:""Ce serait une œuvre de charité de transporter des pèlerins entre les sanctuaires...""
lpp_hookCurateVisit:""J'aimerais visiter les sanctuaires.""
lpp_hookCuratePilgrimage:""Je ferais un pèlerinage à chacun des sanctuaires.""
lpp_hookCurateFascinating:""Fascinant. Bien, je vais y aller.""",
lppHookCurateCredits,DialogOptionSelected,$option == lpp_hookCurateCredits,"$didShrineJobInfo = true
FireBest LPPHookCurateShrineCoordsIntro","""Ou... i,"" dit le curé en vous regardant d'un air sceptique.

""Je suis sûr,"" continue-t-$heOrShe charitablement, ""que facturer un tarif nominal pour le carburant, l'air et la nourriture ne serait pas totalement déplacé. Les fidèles ne s'attendraient pas à ce que vous vous ruiniez pour assurer un transport sûr.""",,
lppHookCurateCharity,DialogOptionSelected,$option == lpp_hookCurateCharity,"$didShrineJobInfo = true
FireBest LPPHookCurateShrineCoordsIntro","Le curé sourit à vos paroles. ""Oui, ce serait un service louable.""",,
lppHookCurateVisit,DialogOptionSelected,$option == lpp_hookCurateVisit,"$didShrineJobInfo = true
FireBest LPPHookCurateShrineCoordsIntro","""Soit,"" dit le curé avec un léger sourire. ""Même pour un visiteur séculier, ils représentent des merveilles à la fois belles et terribles des aspects humains et naturels de la Création.""

""Certains incroyants, m'a-t-on dit, ont involontairement trouvé la foi en parcourant le Chemin du Pèlerin."" $HeOrShe hausse les épaules avec malice, ""La Providence agit de façon des plus mystérieuses.""",,
lppHookCuratePilgrimage,DialogOptionSelected,$option == lpp_hookCuratePilgrimage,"$didShrineJobInfo = true
FireBest LPPHookCurateShrineCoordsIntro","Le curé laisse apparaître un large sourire. ""Alors permettez-moi d'être le premier à vous accueillir sur votre premier pas sur le Chemin du Pèlerin. Vous vivrez des merveilles à la fois belles et terribles, grandes et petites, des aspects humains et naturels de la Création.""

""Certains incroyants, m'a-t-on dit, ont involontairement trouvé la foi en parcourant le Chemin du Pèlerin."" $HeOrShe hausse les épaules, ""La Providence agit de façon mystérieuse pour nous.""",,
lppHookCurateCredits2,LPPHookCurateShrineCoordsIntro,!$didShrineJobInfo,"$didShrineJobInfo = true
$option = lpp_hookCurateShrineCoordinates1 0
FireBest DialogOptionSelected","""À ces fins, si c'est bien votre projet, je devrais vous fournir les coordonnées de tous les sanctuaires connus du Chemin du Pèlerin. Bien que... certains sanctuaires aient été perdus. Opis, bien sûr, n'est plus. Il y avait, ou peut-être y a-t-il encore, un sanctuaire sur Killa. Il recèle de nombreux dangers, à ce que j'entends, même au-delà de l'infestation de pirates du système. Néanmoins, ah-""",,
lppHookCurateFascinating,DialogOptionSelected,$option == lpp_hookCurateFascinating,,"""Avant que vous ne partiez, capitaine, je vous en prie, accordez-moi cette faveur. Je voudrais vous 'transférer' les coordonnées de tous les sanctuaires connus du Chemin du Pèlerin. Peut-être suivrez-vous cette fascination ?""

$HeOrShe manipule maladroitement un datapad de marque ordinaire, visiblement mal à l'aise avec son utilisation.",lpp_hookCurateUpload:Montrer à $himOrHer comment faire,
lppHookCurateShrineCoordinates,LPPHookCurateShrineCoordsIntro,,"$option = lpp_hookCurateShrineCoordinates1 0
FireBest DialogOptionSelected",,,
lppHookCurateShrineCoordinates1,DialogOptionSelected,$option == lpp_hookCurateShrineCoordinates1,,"""Tenez, capitaine, laissez-moi vous 'transférer' les coordonnées de tous les sanctuaires connus du Chemin du Pèlerin.""

$HeOrShe manipule maladroitement un datapad de marque ordinaire, visiblement mal à l'aise avec son utilisation.",lpp_hookCurateUpload:Montrer à $himOrHer comment faire,
lppHookCurateUpload,DialogOptionSelected,$option == lpp_hookCurateUpload,"FireAll GiveLuddicShrineIntel
FireAll LPPHookCurateCottonCheck","Après un instant, vous lui indiquez la bonne séquence de commandes pour transférer les données de navigation.",lpp_hookCurateUpload2:Continuer,
lppHookCurateGiveShrineIntel,GiveLuddicShrineIntel,,"ShrineCMD addIntel beholder_station
ShrineCMD addIntel hesperus
ShrineCMD addIntel gilead
ShrineCMD addIntel jangala
ShrineCMD addIntel killa
ShrineCMD addIntel volturn",,,
lppHookCurateUpload2,DialogOptionSelected,$option == lpp_hookCurateUpload2,"BeginMission lpp
FireAll LPPHookCurateCottonCheck","""Merci,"" dit-$heOrShe humblement.","lpp_hookCurateCottonAsk:""Au fait, connaissez-vous un certain Frère Livewell Cotton ?""
lpp_hookCurateSeeya:Faire vos adieux et partir
lpp_hookCurateSeeyaAgnostic:""Je suis sûr que ce sera intéressant, curé.""
lpp_hookCurateSeeyaFaithful:""Non, merci. J'ai maintenant un voyage à entreprendre.""
lpp_hookCurateSeeyaCynical:""Maintenant je sais quoi éviter. Bonne journée.""
lpp_hookCurateSeeyaPather:""Ni Moloch ni Mammon ne me détourneront du droit chemin.""",
lppHookCurateCotton,LPPHookCurateCottonCheck,!$player.metBrotherCotton,RemoveOption lpp_hookCurateCottonAsk,,,
lppHookCurateSeeyaAgnostic,DialogOptionSelected,$option == lpp_hookCurateSeeyaAgnostic,"$option = lpp_hookCurateSeeya 0
FireBest DialogOptionSelected",$PersonPost $personName hoche la tête en guise de reconnaissance tandis que vous faites le premier pas sur le chemin que vous choisirez de suivre.,,
lppHookCurateSeeyaFaithful,DialogOptionSelected,$option == lpp_hookCurateSeeyaFaithful,"$option = lpp_hookCurateSeeya 0
FireBest DialogOptionSelected",$PersonPost $personName esquisse un signe de bénédiction tandis que vous faites votre premier pas sur ce Chemin du Pèlerin.,,
lppHookCurateSeeyaCynical,DialogOptionSelected,$option == lpp_hookCurateSeeyaCynical,"$option = lpp_hookCurateSeeya 0
FireBest DialogOptionSelected","$PersonPost $personName vous lance un regard étrange tandis que vous vous éloignez, comme si $heOrShe ignorait quel chemin vous pourriez emprunter.",,
lppHookCurateSeeyaPather,DialogOptionSelected,$option == lpp_hookCurateSeeyaPather,"$option = lpp_hookCurateSeeya 0
FireBest DialogOptionSelected","$PersonPost $personName vous lance un regard étrange tandis que vous vous éloignez, comme si $heOrShe s'inquiétait du chemin que vous pourriez prendre.",,
lppHookCurateCottonAsk,DialogOptionSelected,$option == lpp_hookCurateCottonAsk,$askedAboutCotton = true 0,"Le curé se fige, soudain méfiant. ""Ah.""

$HeOrShe laisse échapper un souffle. ""Voilà un nom que je n'ai pas entendu depuis très longtemps.""

Avant que vous puissiez parler, le curé poursuit ""Ce n'est rien de suspect. Je veille bien sur ce sanctuaire et mon troupeau de passage, mais je ne suis pas un ermite. Bien sûr que j'ai entendu parler de Cotton. Et je l'ai rencontré en une occasion. J'ai fait mon rapport aux Chevaliers il y a longtemps et ce fut la fin de l'affaire.""

""J'hésite à demander, mais je dois le faire : pourquoi posez-vous cette question ?""","lpp_hookCurateCottonLooking:""Je le cherche.""
lpp_hookCurateCottonJoin:""Je souhaite le rejoindre.""
lpp_hookCurateCottonKill:""Je vais le tuer.""
lpp_hookCurateCottonWontSay:""Je préférerais ne pas le dire.""",
lppHookCurateCottonLooking,DialogOptionSelected,$option == lpp_hookCurateCottonLooking,,"""Et si vous le trouviez ?""","lpp_hookCurateCottonTalk:""Je lui parlerais.""
lpp_hookCurateCottonJoin:""Je souhaite le rejoindre.""
lpp_hookCurateCottonKill:""Je vais le tuer.""
lpp_hookCurateCottonWontSay:""Je préférerais ne pas le dire.""",
lppHookCurateCottonWontSay,DialogOptionSelected,$option == lpp_hookCurateCottonWontSay,,"""Eh bien. Quelles que soient vos intentions, je vous conseillerais de suivre un chemin bien éloigné de 'Frère' Cotton,"" dit le curé d'un ton catégorique.

Le curé époussète $hisOrHer robes. ""Si vous le permettez,"" $heOrShe ne croise pas votre regard, ""je vais m'occuper des autres pèlerins maintenant.""",lpp_hookCurateSeeya:Faire vos adieux et partir,
lppHookCurateCottonTalk,DialogOptionSelected,$option == lpp_hookCurateCottonTalk,,"Le curé a l'air fatigué, mais considère cette réponse.

""Vous dirait-il quelque chose que vous ne croyez pas déjà ?"" $HeOrShe s'assied sur un banc avec un soupir. ""Vous n'avez pas besoin de répondre à cela. Et je préférerais que vous ne le fassiez pas.""

""Les gens viennent à ce sanctuaire en quête de réponses. J'ai constaté que la plupart de ceux qui viennent ici possèdent déjà les réponses qu'ils cherchent ; en vérité, ce qu'ils cherchent, c'est la permission d'accepter ce qu'ils savent déjà.""",lpp_hookCurateCottonTalk2:Continuer,
lppHookCurateCottonTalk2,DialogOptionSelected,$option == lpp_hookCurateCottonTalk2,$player.declaredWillTalkToCotton = true,"Le curé se lève et époussète $hisOrHer robe. ""Si vous le permettez,"" le curé ne croise pas votre regard, ""je vais m'occuper des autres pèlerins maintenant.""",lpp_hookCurateSeeya:Faire vos adieux et partir,
lppHookCurateCottonJoin,DialogOptionSelected,$option == lpp_hookCurateCottonJoin,$player.luddicAttitudePather++,"""Je vous déconseille ce chemin,"" dit le curé d'un ton catégorique.

Le curé époussète $hisOrHer robes. ""Si vous le permettez,"" $heOrShe ne croise pas votre regard, ""je vais m'occuper des autres pèlerins maintenant.""",lpp_hookCurateSeeya:Faire vos adieux et partir,
lppHookCurateCottonKill,DialogOptionSelected,$option == lpp_hookCurateCottonKill,$player.declaredWillKillCotton = true,"Le curé soupire, se frottant les yeux comme si une vive migraine venait de le saisir, puis prend la parole.

""Je ne saurais dire si vous trouveriez la finalité que vous cherchez sur ce chemin particulier.""","lpp_hookCurateCottonKill2a:""Pourquoi pas ?""
lpp_hookCurateCottonKill2b:""Par bordée ou par arme de poing, je peux assurer que ce sera définitif.""
",
lppHookCurateCottonKill2a,DialogOptionSelected,$option == lpp_hookCurateCottonKill2a,,"""Il n'est pas le premier de son espèce, ni ne sera le dernier, et il n'est pas le seul,"" dit-$heOrShe d'une voix peinée.

""Si vous le permettez,"" le curé ne croise pas votre regard, ""je vais m'occuper des autres pèlerins maintenant.""",lpp_hookCurateSeeya:Faire vos adieux et partir,
lppHookCurateCottonKill2b,DialogOptionSelected,$option == lpp_hookCurateCottonKill2b,,"""Comme vous voudrez,"" concède le curé sans croiser votre regard.

""Si vous le permettez,"" le curé ne croise pas votre regard, ""je vais m'occuper des autres pèlerins maintenant.""",lpp_hookCurateSeeya:Faire vos adieux et partir,
,,,,,,
lppHookCurateSeeya,DialogOptionSelected,$option == lpp_hookCurateSeeya,"EndConversation DO_NOT_FIRE
FireAll LPPShrineVisitXP
$option = shrineDoLeave 0
FireBest DialogOptionSelected",,,
lppHookShrineLeave,DialogOptionSelected,"$option == shrineDoLeave 
$id != beholder_station
$entity.id != killa","ShowDefaultVisual
$justVisitedShrine = true 0
FireAll PopulateOptions
ShrineCMD endMusic","Le vol de retour dans votre navette se déroule sans incident, et pourtant vous êtes vivement conscient de la mince enveloppe technologique qui vous protège des ravages du vide et des radiations.",,
lppHookShrineLeaveBeholder,DialogOptionSelected,"$option == shrineDoLeave 
$id == beholder_station","ShrineCMD endMusic
FireBest ShrineMainOptions","Le vol de retour dans votre navette se déroule sans incident, et pourtant vous êtes vivement conscient de la mince enveloppe technologique qui vous protège des ravages du vide et des radiations.",shrineDoLeaveBeholder2:Partir,
lppHookShrineLeaveBeholder2,DialogOptionSelected,$option == shrineDoLeaveBeholder2,DismissDialog,,,
# Beholder Station shrine,,,,,,
lppBeholderOpenDialog,OpenInteractionDialog,"$id == beholder_station
$tag:luddic_shrine","PrintDescription 1
AddText ""La baie d'atterrissage est remplie de groupes de pèlerins luddiques, beaucoup vêtus de tissage traditionnel, en reunion avec des sous-curés. Un préposé vous examine avec suspicion et s'enquiert de la raison de votre venue.""
ShowDefaultVisual
FireAll BeholderShrineMainOptions
ShrineCMD addIntel",,,
#lppBeholderShrineMainOptions2,BeholderShrineMainOptions,$player.atrocities > 1,,,,
lppBeholderShrineMainOptions,BeholderShrineMainOptions,,,,"0:lpp_beholderShrineVisit:Visiter le sanctuaire
1:beholderShrineMakeOffering:Faire une offrande
10:lpp_beholderShrineRealLeave:Revenir to your $shipOrFleet",
lppBeholderShrineVisit,DialogOptionSelected,$option == lpp_beholderShrineVisit,"SetShortcut shrineLeave1 ""ESCAPE""
ShrineCMD setVisited
FireAll LPPShrineVisitXP","L'assistant reçoit votre demande avec à peine la plus subtile désapprobation. À votre surprise, un sous-curé s'approche pour vous escorter jusqu'à la chambre d'observation du sanctuaire.

Une vaste galerie obscure s'ouvre sur une baie vitrée de diamant de cent mètres offrant une vue complète sur la gloire de Kumari Aru. Ici, les pèlerins contemplent silencieusement le miracle de la Création, s'imprégnant de la beauté sublime et terrible de la géante gazeuse qui se profile en contrebas. Des systèmes de tempête de la taille d'un monde terrestre standard brassent avec une lente majesté, illuminés de l'intérieur par des éclairs en nappe vert-violet, grouillants de xénovie.

Quelque chose d'incompréhensible lève-t-il le regard depuis l'abri d'un sombre banc de nuages vers le point lumineux dans ce ciel étranger ?",beholderShrineLeave1:Partir,
lppBeholderShrineLeave1,DialogOptionSelected,$option == beholderShrineLeave1,"$option = lpp_hookStart 0
FireBest DialogOptionSelected","Vous quittez le sanctum, méditant encore sur ce que vous avez vu et, peut-être, ressenti.",,
lppBeholderShrineRealLeave,DialogOptionSelected,$option == lpp_beholderShrineRealLeave,DismissDialog,,,
lppBeholderShrineOfferingAlreadyMade,DialogOptionSelected,"$option == beholderShrineMakeOffering
$offeringMade score:100",,"Vous avez fait une contribution récemment, aussi en offrir une autre à ce stade pourrait être perçu comme un acte d'orgueil déplacé.",,
lppBeholderShrineOfferingEnough,DialogOptionSelected,"$option == beholderShrineMakeOffering
$player.supplies >= 10","SetTextHighlightColors buttonShortcut
SetTextHighlights 10","Vous vous renseignez auprès du sous-curé sur la possibilité de contribuer à l'entretien de ce lieu saint. Avec un sourire chaleureux, le sous-curé explique qu'une offrande de 10 unités de fournitures contribuerait grandement à aider l'Église dans l'observance de ses devoirs sacrés.","0:beholderShrineGiveOffering:Donner 10 provisions
1:beholderShrineCancelOffering:Peu importe",
lppBeholderShrineOfferingNotEnough,DialogOptionSelected,"$option == beholderShrineMakeOffering
$player.supplies < 10","SetTextHighlightColors buttonShortcut
SetTextHighlights 10","Vous interrogez le sous-curé sur la possibilité de contribuer à l'entretien de ce site sacré. Une offrande de 10 unités de ravitaillement ferait beaucoup pour aider l'Église dans l'observation de ses devoirs sacrés. Malheureusement, vous n'avez pas assez de ravitaillement disponible.

Le sous-curé esquisse un sourire triste. ""Je vois que votre intention est bonne. Peut-être aimeriez-vous partager le repas de charité que nous offrons à chaque quart ?""",,
lppBeholderShrineGiveOffering,DialogOptionSelected,$option == beholderShrineGiveOffering,"AddText ""A subcurate accepts your offering with prayer and thanks.""
AddRemoveCommodity supplies -10 true
AdjustRep luddic_church SHRINE_OFFERING
$offeringMade = true 60
FireBest BeholderShrineMainOptions",,,
lppBeholderShrineCancelOffering,DialogOptionSelected,$option == beholderShrineCancelOffering,FireBest BeholderShrineMainOptions,,,
,,,,,,
# Gilead shrine,,,,,,
lppGileadMissionEndDev2,DialogOptionSelected,$option == lpp_gileadMissionEndDev2,"FireAll GiveLuddicShrineIntel
BeginMission lpp
FireAll LPPGileadEndDev",,,
lppGileadMissionEndDevA,LPPGileadEndDev,,,,lpp_devAddFaithful:Add Faithful playerAttitude,
lppGileadMissionEndDevB,LPPGileadEndDev,,,,lpp_devAddAgnostic:Add Agnostic playerAttitude,
lppGileadMissionEndDevC,LPPGileadEndDev,,,,lpp_devAddAtheistic:Add Atheistic playerAttitude,
lppGileadMissionEndDevD,LPPGileadEndDev,,,,lpp_devAddCynical:Add Cynical playerAttitude,
lppGileadMissionEndDevE,LPPGileadEndDev,,,,lpp_devAddPather:Add Pather playerAttitude,
lppGileadMissionEndDevF,LPPGileadEndDev,,,,lpp_devAddCotton:Player put Cotton's holy book on shrine to true,
lppGileadMissionEndDevG,LPPGileadEndDev,!$player.metBaird,,,lpp_devMetBaird:Set player metBaird true,
lppGileadMissionEndDevG2,DialogOptionSelected,$option == lpp_devMetBaird,"$player.metBaird
RemoveOption lpp_devMetBaid",,,
lppGileadMissionEndDevA2,DialogOptionSelected,$option == lpp_devAddFaithful,"$player.luddicAttitudeFaithful = 3
RemoveOption lpp_devAddFaithful
#FireAll LPPGileadEndDev",$player.luddicAttitudeFaithful,,
lppGileadMissionEndDevB2,DialogOptionSelected,$option == lpp_devAddAgnostic,"$player.luddicAttitudeAgnostic = 3
RemoveOption lpp_devAddAgnostic
#FireAll LPPGileadEndDev",$player.luddicAttitudeAgnostic,,
lppGileadMissionEndDevC2,DialogOptionSelected,$option == lpp_devAddAtheistic,"$player.luddicAttitudeAtheistic =3
RemoveOption lpp_devAddAtheistic
#FireAll LPPGileadEndDev",$player.luddicAttitudeAtheistic,,
lppGileadMissionEndDevD2,DialogOptionSelected,$option == lpp_devAddCynical,"$player.luddicAttitudeCynical=3
RemoveOption lpp_devAddCynical
#FireAll LPPGileadEndDev",$player.luddicAttitudeCynical,,
lppGileadMissionEndDevE2,DialogOptionSelected,$option == lpp_devAddPather,"$player.luddicAttitudePather =3
RemoveOption lpp_devAddPather
#FireAll LPPGileadEndDev",$player.luddicAttitudePather,,
lppGileadMissionEndDevF2,DialogOptionSelected,$option == lpp_devAddCotton,"RemoveOption lpp_devAddCotton
$player.leftCottonBookInGilead = true
$player.metBrotherCotton = true",,,
lppGileadMissionEndDevH,LPPGileadEndDev,,,,lpp_gileadMissionEndDev3:Continuer,
lppGileadMissionEndDevH2,DialogOptionSelected,$option == lpp_gileadMissionEndDev3,"$market.lpp_finishPilgrimage = true
$global.lpp_visitedShrineGilead = true
$option = lpp_gileadShrineVisitStart 0
FireBest DialogOptionSelected",,,
lppGileadShrineVisitFirstTime,PopulateOptions,"$market.id == gilead
$faction.id == luddic_church
$market.tag:luddic_shrine
$menuState == main
!$market.knowAboutShrine","ShrineCMD addIntel
$market.knowAboutShrine = true",Il est bien connu que les pèlerins de la foi Luddic voyagent ici depuis tout le Secteur Persan pour visiter le saint sanctuaire de Gilead. Le sanctuaire aurait été bâti à l'endroit où Ludd a embrassé le sol en posant pour la première fois le pied sur la surface de la planète.,,
lppGileadShrineVisitOption,PopulateOptions,"$market.id == gilead
$faction.id == luddic_church
$market.tag:luddic_shrine
$menuState == main
$player.transponderOn
!$justVisitedShrine
!$market.lpp_finishPilgrimage",,,3:lpp_gileadShrineVisitStart:Se joindre aux pèlerins visitant le sanctuaire luddique,# available by default
lppGileadPilgrimageEndOption,PopulateOptions,"$market.id == gilead
$market.tag:luddic_shrine
$menuState == main
!$justVisitedShrine
$market.lpp_finishPilgrimage score:1000",SetOptionColor lpp_gileadShrineVisitStart buttonShortcut,,3:lpp_gileadShrineVisitStart:Descendre en navette pour achever le pèlerinage,
lppGileadShrineVisitStart,DialogOptionSelected,$option == lpp_gileadShrineVisitStart,ShowLargePlanet,"La désorbitation vers la surface de Gilead est strictement supervisée par les Chevaliers de Ludd ; votre navette doit faire la queue derrière une flottille de transports et de cargos pesants remplis de biens industriels approuvés.

Cela vous laisse le temps de contempler la face de Gilead ; ses continents, autrefois bordés uniquement d'équivalents d'algues extraterrestres, ont été ensemencés de vie terrestre par un vaisseau-spore de la seconde vague d'expansion humaine. La mégacorporation de terraformation Eridani-Utopia suivit et ses vastes machines stabilisèrent le climat et les processus écologiques. Ludd vint alors, fit tomber les machines, et les croyants qui suivirent entretinrent le monde comme un jardin sauvage d'une richesse stupéfiante. Véritablement, c'est un joyau du Secteur Persan.

Votre navette reçoit un signal du contrôle du trafic : permission de descendre.",lpp_gileadShrineVisitStart2:Continuer,
lppGileadShrineStartHub,DialogOptionSelected,$option == lpp_gileadShrineVisitStart2,"ShowImageVisual luddic_shrine
FireBest LPPGileadShrineStartHubA","La baie d'atterrissage, l'une d'une vingtaine environ allouées aux visiteurs extérieurs, est bondée de groupes de pèlerins Luddic vêtus de tissage traditionnel, guidés par des accompagnateurs en robe.","
",
lppGileadShrineVisitAgain,DialogOptionSelected,"$option == lpp_gileadShrineVisitStart
$global.lpp_visitedShrineGilead",ShowLargePlanet,"La désorbitation vers la surface de Gilead est supervisée par les Chevaliers de Ludd, et leur contrôle du trafic est caractéristiquement strict. Votre navette fait la queue derrière une flottille de transports et de cargos pesants.

La face de Gilead est couverte de continents verdoyants, ensemencés de vie terrestre par vaisseau-spore et au climat stabilisé par les vastes machines de terraformation d'Eridani Utopia. Puis Ludd vint et les Fidèles transformèrent le monde en un jardin sauvage d'une richesse stupéfiante ; c'est un joyau du Secteur Persan.

Votre navette reçoit un signal du contrôle du trafic : permission de descendre.",lpp_gileadShrineVisitStart2:Continuer,
lppGileadShrineVisitAgainEnd,DialogOptionSelected,"$option == lpp_gileadShrineVisitStart
$lpp_finishPilgrimage score:1000","ShowLargePlanet
FireBest LPPGileadDescriptionOrbit","La désorbitation vers la surface de Gilead est supervisée par les Chevaliers de Ludd, et leur contrôle du trafic est typiquement strict. Votre navette fait la queue derrière une flotille de transports massifs et de cargo",,
lppGileadShrineVisitAgainEndB1,LPPGileadDescriptionOrbit,$player.luddicAttitudePather >= 3,FireBest LPPGileadDescriptionOrbit2,"La face de Gilead est peinte de fragiles continents verdoyants et d'océans bleus scintillants. Ludd vint ici et les Fidèles originels, non dilués par la hiérarchie de l'Église, libérèrent le monde des machines de terraformation d'Eridani Utopia. À la place d'un étalement de plantations-forteresses privées et de complexes de villégiature bondés pour les riches, un jardin sauvage d'une richesse stupéfiante s'épanouit. C'est un joyau du Secteur Persan.",,
lppGileadShrineVisitAgainEndB2,LPPGileadDescriptionOrbit,$player.luddicAttitudeFaithful >= 3,FireBest LPPGileadDescriptionOrbit2,"La face de Gilead est peinte de fragiles continents verdoyants et d'océans bleus scintillants. Ludd vint ici, vit les vastes machines de terraformation d'Eridani Utopia et leurs desseins de profit, et mena les premiers Fidèles à libérer le monde. À la place de plantations-forteresses privées tentaculaires et de complexes de villégiature bondés, un jardin sauvage d'une richesse stupéfiante fut cultivé. C'est un joyau du Secteur Persan.",,
lppGileadShrineVisitAgainEndB3,LPPGileadDescriptionOrbit,$player.luddicAttitudeCynical >= 3,FireBest LPPGileadDescriptionOrbit2,"La face de Gilead arbore des continents d'un vert saisissant et des océans bleus scintillants. D'abord ensemencée par des vaisseaux-spores, le contrat de terraformation fut accordé par les autorités coloniales du Domaine à la mégacorporation de terraformation Eridani Utopia. Leurs vastes machines domptèrent le monde, et alors que le projet était sur le point d'aboutir, Ludd arriva. D'un certain point de vue, les disciples de Ludd volèrent le monde pour créer leur propre vision du paradis : un jardin sauvage rustique. Malgré l'hypocrisie, ou peut-être grâce à elle, Gilead est un joyau du Secteur Persan.",,
lppGileadShrineVisitAgainEndB4,LPPGileadDescriptionOrbit,$player.luddicAttitudeAtheistic >= 3,FireBest LPPGileadDescriptionOrbit2,"Le visage de Gilead est couvert de continents verdoyants, ensemencés de vie terrestre par vaisseau-spore et climatiquement stabilisés par les vastes machines de terraformation d'Eridani-Utopia. Puis Ludd est venu et les Fidèles ont transformé le monde en une nature sauvage jardinée et rustique d'une richesse stupéfiante ; c'est un joyau du Secteur Persan.",,
lppGileadShrineVisitAgainEndB5,LPPGileadDescriptionOrbit,,FireBest LPPGileadDescriptionOrbit2,"Le visage de Gilead est couvert de continents verdoyants, ensemencés de vie terrestre par vaisseau-spore et climatiquement stabilisés par les vastes machines de terraformation d'Eridani Utopia. Puis Ludd est venu et a transformé le monde en une nature sauvage jardinée et rustique d'une richesse stupéfiante ; c'est un joyau du Secteur Persan.",,
lppGileadShrineVisitAgainEndC,LPPGileadDescriptionOrbit2,,,Votre navette reçoit un signal du contrôle du trafic : permission de descendre.,lpp_gileadShrineVisitStart2:Continuer,
lppGileadShrineStartHubTextB,LPPGileadShrineStartHubA,$player.atrocities > 1 score:100,,"L'un de ces impassibles accompagnateurs, flanqué de Chevaliers de Ludd en armure assistée étincelante, accueille votre navette sur l'aire d'atterrissage.

""Nous n'accueillons pas ceux qui ont fait ce que vous avez fait, capitaine $playerName,"" dit l'accompagnateur. ""Veuillez partir maintenant.""

Ils paraissent inflexibles et considèrent peut-être même le fait de vous tenir tête comme une épreuve vertueuse de leur dévotion.",lpp_gileadShrineVisit:Partir,
lppGileadShrineStartHubTextC,LPPGileadShrineStartHubA,RepLTE luddic_church INHOSPITABLE score:50,,"L'un de ces impassibles accompagnateurs, flanqué de Chevaliers de Ludd en armure assistée étincelante, accueille votre navette sur l'aire d'atterrissage.

""Nous n'accueillons pas ceux qui ont fait ce que vous avez fait, capitaine $playerName,"" dit l'accompagnateur. ""Veuillez partir maintenant.""

Ils paraissent inflexibles et considèrent peut-être même le fait de vous tenir tête comme une épreuve vertueuse de leur dévotion.",lpp_gileadShrineVisit:Partir,
lppGileadShrineJaspisRetryA,DialogOptionSelected,"$option == lpp_gileadShrineVisitStart
$global.lpp_playerRejectedJaspisRoute
$global.lpp_visitedShrineGilead",ShowLargePlanet,"La désorbitation vers la surface de Gilead est strictement supervisée par les Chevaliers de Ludd ; votre navette doit faire la queue derrière une flottille non négligeable de transports et de cargos pesants remplis de biens industriels approuvés.

Alors que votre navette s'insère en orbite d'attente, une priorité arrive du contrôle du trafic. Votre pilote vous transmet les instructions de navigation pour approbation : permission immédiate de descendre par un itinéraire non standard vers un site qui n'est pas le complexe de transport habituel pour les pèlerins. Au lieu de cela, on vous dirige vers une aire d'atterrissage desservant un vaste complexe monastique.

La datasphère locale, aussi limitée soit-elle, ne fournit pas de détails.","lpp_ending1:Suivre the route
lpp_startEndingAbort:Revenir to your $shipOrFleet instead",
lppGileadShrineJaspisRetryB,DialogOptionSelected,"$option == lpp_gileadShrineVisitStart
$global.lpp_playerRejectedFirstJaspisMeeting
$global.lpp_visitedShrineGilead",ShowLargePlanet,"La désorbitation vers la surface de Gilead est strictement supervisée par les Chevaliers de Ludd ; votre navette doit faire la queue derrière une flottille non négligeable de transports et de cargos pesants remplis de biens industriels approuvés.

Alors que votre navette s'insère en orbite d'attente, une priorité arrive du contrôle du trafic. Votre pilote vous transmet les instructions de navigation pour approbation : permission immédiate de descendre par un itinéraire non standard vers un site qui n'est pas le complexe de transport habituel pour les pèlerins. Au lieu de cela, on vous dirige vers une aire d'atterrissage desservant un vaste complexe monastique.

La datasphère locale, aussi limitée soit-elle, ne fournit pas de détails. Vous ne pouvez que supposer que l'Archicuré Jaspis insiste pour vous rencontrer.","lpp_ending1:Suivre the route
lpp_startEndingAbort:Revenir to your $shipOrFleet instead",
lppGileadShrineStartEndingAbort,DialogOptionSelected,$option == lpp_startEndingAbort,FireAll PopulateOptions,Vous ordonnez au pilote d'interrompre votre descente plutôt que de suivre le plan de navigation inhabituel. Il n'y a aucune objection du contrôle du trafic ni aucune demande de communication de suivi alors que vous retournez à votre $shipOrFleet.,,
